Edad,RangoEdad,Sexo,EstadoCivil,TipoLocalidad,Comuna,Zona,Estrato,TipoVivienda,TiempoEnMedellin,PersonasConLasQueVive,AfiliacionSalud,NivelEstudio,Estudia,ValoracionOportunidadesDeLaCiudadParaEstudiar,ValoracionInstitucionEnHabilidadesDelMundoLaboral,ImpactoProfesoresEnLaVida,Trabaja,PercepcionOfertaLaboral,GastoSemanalTransporte,GastoSemanalRumba,GastoSemanalObligacionesFamiliares,EdadALaQueTuvoPrimerHijo,EdadPrimeraRelacionSexual,ConsumoDrogas,ConsumoCigarrillo,ConsumoLicor,FrecuenciaEjercicio,FrecuenciaLectura,ParticipacionMarchas,ActividadesComunitarias,ParticipacionVoluntariados,ParticipacionGrupoJuvenil
18,18-21 años,Hombre,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,Alquilado,De 1 a 5 años,3 personas,Subsidiado/ Sisben,Grado 9,Sí,Muy favorable,Favorable,Favorable,No,Mala,6000,30000,0,No Aplica,16,No,No,Sí,Siempre,Casi Siempre,No,No,No,No
24,22-26 años,Hombre,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,De tu propiedad,Siempre,3 personas,Subsidiado/ Sisben,Grado 6,No,Ni favorable/ Ni desfavorable,Desfavorable,Muy favorable,Sí,Muy buena,0,0,0,No Aplica,14,No,Sí,Sí,Nunca,Nunca,No,No,No,No
18,18-21 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,De tus padres/ hermanos,Más de 10 años,5 personas,Beneficiario,Técnica incompleta o en curso,Sí,Favorable,Ni favorable/ Ni desfavorable,Ni favorable/ Ni desfavorable,Sí,Buena,0,0,25000,No Aplica,18,Sí,No,Sí,A veces,Nunca,No,No,No,Sí
22,22-26 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,De tus padres/ hermanos,Más de 10 años,7 personas,Beneficiario,Técnica incompleta o en curso,No,Desfavorable,Desfavorable,Muy favorable,No,Mala,0,0,25000,17,16,No,No,Sí,Nunca,Siempre,No,No,No,No
19,18-21 años,Hombre,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,De tus padres/ hermanos,Siempre,5 personas,Subsidiado/ Sisben,Grado 10,Sí,Favorable,Favorable,Muy favorable,Nunca he trabajado,Buena,0,15000,0,No Aplica,14,No,No,Sí,A veces,Casi Siempre,No,No,No,No
19,18-21 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 1,De tus padres/ hermanos,Siempre,5 personas,Subsidiado/ Sisben,Técnica Completa,No,Muy favorable,Ni favorable/ Ni desfavorable,Muy favorable,No,Muy buena,24000,0,0,19,16,No,No,Sí,A veces,A veces,No,No,No,Sí
15,14-17 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,De tus padres/ hermanos,Siempre,3 personas,Subsidiado/ Sisben,Grado 8,Sí,Muy favorable,Favorable,Favorable,Nunca he trabajado,Ni buena/ Ni mala,0,0,0,No Aplica,No Aplica,No,No,Sí,A veces,A veces,No,Sí,No,Sí
19,18-21 años,Mujer,No eres casado(a) y vives en pareja hace menos de dos años,COMUNA,Popular,NORORIENTAL,Estrato 2,Alquilado,De 1 a 5 años,2 personas,Cotizante,Técnica Completa,No,Desfavorable,Favorable,Favorable,Sí,Buena,0,0,0,No Aplica,17,No,No,Sí,A veces,Casi Siempre,No,No,No,No
18,18-21 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 1,De tus padres/ hermanos,Siempre,5 personas,Subsidiado/ Sisben,Grado 9,Sí,Favorable,Muy favorable,Favorable,Nunca he trabajado,Muy buena,30000,0,70000,No Aplica,No Aplica,No,No,Sí,Nunca,Nunca,No,No,No,Sí
19,18-21 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,Alquilado,Menos de 1 año,3 personas,Subsidiado/ Sisben,Grado 8,Sí,Muy favorable,Muy favorable,Favorable,No,Buena,0,0,0,No Aplica,16,No,Sí,Sí,Nunca,Casi Siempre,No,No,No,No
20,18-21 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,De tus padres/ hermanos,Siempre,6 personas,Subsidiado/ Sisben,Grado 11,No,Ni favorable/ Ni desfavorable,Favorable,Muy favorable,No,Muy Mala,10000,0,80000,19,16,No,No,Sí,Nunca,Nunca,No,No,No,No
14,14-17 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,Alquilado,Siempre,5 personas,Subsidiado/ Sisben,Grado 6,No,Favorable,Ni favorable/ Ni desfavorable,Favorable,Nunca he trabajado,Ni buena/ Ni mala,0,0,0,No Aplica,No Aplica,No,No,Sí,Casi nunca,Nunca,No,No,No,No
16,14-17 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,De tus padres/ hermanos,Siempre,4 personas,Subsidiado/ Sisben,Grado 5,No,Favorable,Favorable,Muy favorable,Nunca he trabajado,Muy buena,6000,0,50000,No Aplica,14,No,No,Sí,Casi nunca,Siempre,No,No,No,No
17,14-17 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 1,De tus padres/ hermanos,Siempre,4 personas,Subsidiado/ Sisben,Grado 11,Sí,Desfavorable,Muy favorable,Favorable,Nunca he trabajado,Mala,30000,0,0,15,14,No,No,No,Casi nunca,Nunca,No,No,No,No
21,18-21 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 1,De tu propiedad,Siempre,5 personas,Subsidiado/ Sisben,Tecnología Completa,No,Muy favorable,Muy favorable,Muy favorable,No,Buena,0,0,0,No Aplica,18,No,Sí,Sí,Casi nunca,A veces,No,Sí,No,Sí
17,14-17 años,Hombre,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,Alquilado,Siempre,3 personas,Subsidiado/ Sisben,Grado 7,No,Muy desfavorable,Muy favorable,Favorable,No,Ni buena/ Ni mala,30000,0,0,No Aplica,13,Sí,No,Sí,Siempre,Casi Siempre,No,No,No,Sí
25,22-26 años,Mujer,No eres casado(a) y vives en pareja hace dos años o más,COMUNA,Popular,NORORIENTAL,Estrato 2,Alquilado,Más de 10 años,3 personas,Beneficiario,Grado 11,Sí,Desfavorable,Favorable,Ni favorable/ Ni desfavorable,Nunca he trabajado,Buena,0,0,70000,21,16,No,Sí,Sí,Nunca,Nunca,No,No,No,No
19,18-21 años,Hombre,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,Prestado por un familiar o amigo,Siempre,3 personas,Subsidiado/ Sisben,Grado 11,No,Favorable,Desfavorable,Ni favorable/ Ni desfavorable,Sí,Ni buena/ Ni mala,0,0,0,No Aplica,14,No,No,Sí,A veces,Nunca,No,No,No,No
16,14-17 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,Alquilado,Más de 10 años,4 personas,Subsidiado/ Sisben,Grado 6,Sí,Muy favorable,Ni favorable/ Ni desfavorable,Ni favorable/ Ni desfavorable,Nunca he trabajado,Ni buena/ Ni mala,0,0,0,No Aplica,No Aplica,No,No,Sí,Nunca,Casi Siempre,Sí,No,No,No
22,22-26 años,Mujer,No eres casado(a) y vives en pareja hace dos años o más,COMUNA,Popular,NORORIENTAL,Estrato 2,Prestado por un familiar o amigo,Siempre,7 personas,Cotizante,Grado 11,No,Ni favorable/ Ni desfavorable,Favorable,Desfavorable,Sí,Ni buena/ Ni mala,0,0,0,16,16,No,No,No,A veces,Casi Siempre,No,No,No,No
19,18-21 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,Alquilado,Siempre,5 personas,Beneficiario,Técnica incompleta o en curso,Sí,Favorable,Favorable,Favorable,No,Ni buena/ Ni mala,0,0,0,17,15,No,No,Sí,A veces,A veces,No,No,No,No
20,18-21 años,Mujer,No eres casado(a) y vives en pareja hace menos de dos años,COMUNA,Popular,NORORIENTAL,Estrato 2,Alquilado,Más de 10 años,3 personas,Subsidiado/ Sisben,Grado 11,No,Favorable,Favorable,Favorable,No,Ni buena/ Ni mala,0,0,0,19,18,No,No,No,A veces,A veces,No,No,No,No
15,14-17 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,De tus padres/ hermanos,Siempre,4 personas,Subsidiado/ Sisben,Grado 7,Sí,Muy favorable,Ni favorable/ Ni desfavorable,Ni favorable/ Ni desfavorable,Nunca he trabajado,Ni buena/ Ni mala,0,0,0,No Aplica,No Aplica,No,No,Sí,Nunca,Casi Siempre,Sí,No,No,Sí
18,18-21 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 1,De tus padres/ hermanos,De 1 a 5 años,7 personas,Subsidiado/ Sisben,Grado 8,No,Favorable,Favorable,Favorable,No,Ni buena/ Ni mala,0,0,0,No Aplica,15,No,No,Sí,Casi nunca,A veces,No,No,No,No
16,14-17 años,Mujer,No eres casado(a) y vives en pareja hace menos de dos años,COMUNA,Popular,NORORIENTAL,Estrato 2,De tus padres/ hermanos,Siempre,3 personas,Subsidiado/ Sisben,Técnica incompleta o en curso,Sí,Favorable,Favorable,Favorable,No,Ni buena/ Ni mala,0,0,0,15,15,No,No,No,A veces,A veces,No,No,No,No
24,22-26 años,Mujer,No eres casado(a) y vives en pareja hace menos de dos años,COMUNA,Popular,NORORIENTAL,Estrato 2,De tu propiedad,Menos de 1 año,3 personas,Beneficiario,Grado 6,No,Favorable,Favorable,Favorable,No,Muy buena,0,0,0,19,18,No,No,No,A veces,Nunca,Sí,No,No,No
14,14-17 años,Mujer,Soltero(a),COMUNA,Popular,NORORIENTAL,Estrato 2,De tus padres/ hermanos,Siempre,4 personas,Beneficiario,Grado 8,Sí,Favorable,Favorable,Favorable,Nunca he trabajado,Ni buena/ Ni mala,0,0,0,No Aplica,14,No,No,Sí,Casi nunca,A veces,No,No,No,No
